gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29	gene30	gene31	gene32	gene33	gene34	gene35	gene36	gene37	gene38	gene39	gene40	gene41	gene42	gene43	gene44	gene45	gene46	gene47	gene48	gene49	gene50	gene51	gene52	gene53	gene54	gene55	gene56	gene57	gene58	gene59	gene60	gene61	gene62	gene63	gene64	gene65	gene66	gene67	gene68	gene69	gene70	gene71	gene72	gene73	gene74	gene75	gene76	gene77	gene78	gene79	gene80	gene81	gene82	gene83	gene84	gene85	gene86	gene87	gene88	gene89	gene90	gene91	gene92	gene93	gene94	gene95	gene96	gene97	gene98	gene99	gene100
0	1.03081	2.06695	1.12127	1.11362	1.67898	0.93443	0.9488	1.40321	1.53148	0.83119	1.13858	1.11181	1.36086	1.35573	1.02515	1.33952	1.56312	1.08827	2.01771	1.03076	1.42729	1.06062	1.16126	1.67726	1.1456	1.10309	1.211	0.98094	1.93464	1.57479	1.52882	1.36295	1.75535	1.25861	1.1955	1.40526	1.63154	1.22177	1.55066	1.32986	1.22602	1.10747	1.47658	2.10602	0.87321	1.22258	1.47682	1.06126	1.50342	1.28501	1.09843	1.43505	1.41635	1.29012	1.40616	1.18982	1.49975	1.74402	1.21323	1.13082	1.3856	1.08999	1.66524	1.64851	1.15988	1.07186	1.23241	1.58012	1.00969	1.28981	1.47722	1.59135	1.10771	1.37585	0.99519	1.4002	1.42342	1.27637	1.17829	1.09955	1.22223	1.47785	1.02959	1.15622	1.08189	1.74453	1.75124	1.61754	1.0174	1.28685	1.1468	1.04155	1.11874	1.2839	1.18954	1.01198	1.4433	1.42231	1.31153	1.7777
2	1.00349	2.06153	1.06866	1.17844	1.70971	0.87998	0.95273	1.40283	1.5319	0.84202	1.06785	1.07353	1.35537	1.4	1.09037	1.42288	1.57132	1.09428	1.97884	1.10715	1.46837	1.04967	1.14316	1.72001	1.26875	1.09743	1.19015	0.98049	1.93789	1.56861	1.47398	1.39099	1.8212	1.18163	1.13916	1.39965	1.67427	1.22396	1.53667	1.36912	1.22467	1.05401	1.50314	2.10256	0.85625	1.13689	1.5106	1.01347	1.54997	1.21951	1.14628	1.37846	1.45662	1.27235	1.46896	1.22524	1.4832	1.7794	1.26839	1.21797	1.40592	1.14131	1.68341	1.59661	1.19433	0.97734	1.21808	1.57117	1.01205	1.328	1.43545	1.61138	1.15448	1.29117	0.9282	1.40996	1.49397	1.30437	1.24017	1.07135	1.15333	1.479	1.03697	1.18049	1.13104	1.68656	1.73011	1.64989	0.97784	1.31973	1.11954	1.00138	1.11749	1.28892	1.19165	1.03787	1.35779	1.44294	1.31257	1.73019
3	1.02199	2.03998	1.08458	1.13232	1.79001	0.89552	0.94745	1.36929	1.45506	0.86615	1.14364	1.14237	1.3172	1.35392	1.07211	1.36861	1.52722	1.07277	1.94324	1.07627	1.50344	1.0637	1.13725	1.7784	1.28361	1.11997	1.22312	0.9184	1.89574	1.56756	1.46164	1.34865	1.86128	1.20271	1.19086	1.38523	1.64175	1.20754	1.54843	1.36578	1.18643	1.13151	1.54391	2.0864	0.92112	1.1357	1.52458	1.03231	1.57622	1.25248	1.16005	1.38764	1.43371	1.27507	1.47695	1.24247	1.48718	1.78097	1.23287	1.21543	1.3914	1.07105	1.6197	1.6132	1.16989	0.97615	1.20458	1.52682	0.99	1.38922	1.36885	1.65962	1.14615	1.32283	0.90467	1.44798	1.45498	1.27015	1.23668	1.13457	1.17716	1.46472	1.07082	1.21245	1.11473	1.72873	1.7778	1.63503	1.03659	1.31497	1.10666	1.01949	1.10706	1.31281	1.17327	1.04509	1.38841	1.48564	1.3814	1.70691
4	1.05112	2.04617	1.08259	1.12753	1.80855	0.91202	0.96268	1.33312	1.44103	0.88231	1.12858	1.12307	1.35601	1.32684	1.08168	1.37898	1.51994	1.06724	1.88879	1.1111	1.52479	1.08459	1.09805	1.79462	1.29648	1.14327	1.20551	0.87482	1.86509	1.53421	1.44722	1.36825	1.88191	1.22122	1.21037	1.36877	1.62495	1.25673	1.53875	1.37904	1.19377	1.10222	1.55449	2.06995	0.94857	1.13044	1.52158	1.06357	1.56119	1.26768	1.17733	1.37389	1.44194	1.28092	1.49032	1.24342	1.52942	1.84104	1.23664	1.2211	1.34645	1.10011	1.59785	1.6324	1.18521	0.97292	1.20824	1.54846	1.00762	1.38234	1.3627	1.6593	1.12639	1.31811	0.89019	1.46432	1.44924	1.28143	1.27417	1.13492	1.15543	1.46578	1.05073	1.18023	1.13382	1.76295	1.74418	1.61645	1.07383	1.27282	1.08117	1.02497	1.14051	1.31489	1.15397	1.02495	1.37665	1.48594	1.38533	1.72881
5	1.08273	2.04705	1.06308	1.10276	1.80215	0.84316	0.9888	1.38166	1.39951	0.88317	1.12107	1.09798	1.36602	1.31622	1.00587	1.44507	1.52847	1.09571	1.84781	1.14752	1.48359	1.05644	1.08055	1.76658	1.24888	1.10949	1.2414	0.83036	1.86868	1.52491	1.4976	1.36802	1.91039	1.2006	1.18859	1.38682	1.67312	1.26448	1.5505	1.38333	1.16053	1.03735	1.52145	2.0368	0.93351	1.10982	1.57504	1.04199	1.58087	1.29077	1.15115	1.41519	1.43481	1.29605	1.4875	1.20244	1.52476	1.8459	1.27419	1.20869	1.33446	1.12126	1.64233	1.61761	1.21164	0.94636	1.16929	1.52081	1.02384	1.40497	1.40933	1.66024	1.107	1.30884	0.85462	1.46901	1.44912	1.31502	1.26395	1.07153	1.1543	1.46724	1.06805	1.17775	1.13901	1.77502	1.78605	1.61847	1.0481	1.27004	1.08208	1.02367	1.14137	1.32582	1.17423	1.02287	1.29487	1.47567	1.3593	1.74153
6	1.09042	2.05281	1.05414	1.06911	1.79346	0.82963	0.99818	1.43171	1.34453	0.8744	1.20926	1.19515	1.40254	1.35924	0.98847	1.43334	1.54926	1.17856	1.84159	1.05679	1.46252	1.05064	1.02142	1.76875	1.181	1.0952	1.25889	0.82787	1.82475	1.59124	1.43336	1.32035	1.99459	1.13484	1.19832	1.42041	1.68144	1.10139	1.55202	1.41324	1.16144	0.97347	1.49915	1.95215	0.84037	1.06935	1.62721	1.02491	1.55586	1.24112	1.08843	1.32941	1.41755	1.34136	1.53766	1.18908	1.5275	1.82536	1.30458	1.27561	1.32872	1.03876	1.66009	1.68242	1.30573	0.8519	1.15192	1.59755	1.02398	1.44082	1.45258	1.68379	1.04381	1.27846	0.83046	1.39482	1.42972	1.2662	1.15954	1.09608	1.10865	1.43043	1.04466	1.20923	1.09242	1.77891	1.82249	1.61731	0.97717	1.35828	1.04029	1.07152	1.17127	1.34501	1.23362	1.0411	1.22641	1.46318	1.30316	1.70217
7	1.11454	2.08361	1.10073	1.10436	1.822	0.85081	1.0476	1.37875	1.44184	0.9865	1.07268	1.20099	1.41856	1.28655	0.99111	1.49493	1.47724	1.12603	1.81756	1.21699	1.40535	1.10246	1.08366	1.66053	1.17945	1.11661	1.20771	0.71149	1.87807	1.64646	1.5264	1.39316	1.88653	1.13979	1.21223	1.38953	1.66039	1.1687	1.59803	1.27838	1.14573	1.00948	1.52871	2.03669	0.99001	1.06583	1.47149	1.04514	1.51405	1.15558	1.08487	1.43783	1.51226	1.25626	1.49722	1.1579	1.50022	1.84114	1.36748	1.07218	1.47565	1.11979	1.68192	1.63722	1.27399	1.00381	1.21437	1.45596	1.10249	1.36939	1.38738	1.63041	1.11286	1.38387	0.78084	1.49611	1.42976	1.265	1.31017	1.09367	1.17278	1.50733	1.06451	1.13073	1.16741	1.73051	1.82195	1.67271	0.98927	1.34696	1.18726	1.00646	1.15667	1.30008	1.21867	1.0235	1.38381	1.46244	1.30021	1.71198
11	1.15131	1.91014	1.27555	1.07782	1.78787	0.89518	1.10507	1.45811	1.41801	1.08503	1.04804	1.04978	1.42349	1.23759	0.96994	1.46137	1.52831	1.03832	1.77182	1.24289	1.45885	1.1445	1.20198	1.67554	1.32871	1.24521	1.13818	0.79972	1.92987	1.69188	1.4818	1.45381	1.73851	1.25564	1.17524	1.34639	1.62149	0.98108	1.57692	1.28513	1.1289	0.98289	1.69926	1.88862	0.97351	1.28467	1.46303	1.08993	1.61716	1.22506	1.2027	1.51859	1.52478	1.25722	1.28802	1.04768	1.36933	1.74986	1.32727	1.1428	1.53424	1.15711	1.56287	1.75661	1.2857	1.08342	1.20008	1.50868	1.0718	1.33885	1.4137	1.74747	1.06936	1.26521	0.92036	1.47591	1.49655	1.22084	1.29382	1.10061	1.05931	1.4966	0.96297	1.118	1.19821	1.87354	1.87972	1.46769	0.91828	1.36614	1.11807	1.05234	1.05719	1.28024	1.16791	1.01694	1.33939	1.39926	1.26683	1.6562
12	1.14853	1.90975	1.248	1.03247	1.70771	0.92619	1.09159	1.50518	1.41572	1.11388	1.12244	1.03196	1.45737	1.32156	1.01008	1.49312	1.55142	0.98943	1.74259	1.22824	1.576	1.13849	1.25714	1.65133	1.34122	1.2856	1.08344	0.80717	1.92371	1.69421	1.5112	1.42678	1.74909	1.25404	1.17175	1.34981	1.65962	1.01854	1.57996	1.35064	1.17488	0.95174	1.67341	1.90334	1.00959	1.30517	1.51826	1.14203	1.63554	1.33909	1.13273	1.54126	1.56432	1.24244	1.36941	1.06111	1.4244	1.71678	1.43319	1.06758	1.61172	1.10316	1.58199	1.65111	1.21589	1.06048	1.11026	1.4727	1.05429	1.28081	1.42589	1.79811	1.16494	1.26777	0.96364	1.46184	1.54093	1.19603	1.29054	1.1233	1.10497	1.58832	0.98921	1.10913	1.16876	1.85855	1.88655	1.58747	0.9259	1.29638	1.09737	1.07407	1.0214	1.2862	1.22266	1.02319	1.31739	1.4282	1.3375	1.62952
14	1.02386	1.89219	1.26625	1.09672	1.8067	0.93481	1.0859	1.59787	1.34673	1.08749	1.0066	1.09531	1.52604	1.24098	0.81705	1.49071	1.65515	1.17248	1.80219	1.18565	1.5165	1.11434	1.19881	1.64584	1.35741	1.22428	1.09632	0.84455	1.95983	1.77697	1.48083	1.3801	1.88162	1.33222	1.1701	1.35336	1.68598	0.98519	1.55765	1.29472	1.1054	1.02236	1.71203	2.03321	1.03092	1.25604	1.41299	1.01027	1.64315	1.26455	1.13372	1.4693	1.49816	1.31065	1.31873	1.10118	1.44026	1.74147	1.26224	1.0936	1.51736	1.1972	1.62373	1.72805	1.24386	1.02723	1.24419	1.53137	1.09712	1.31579	1.35997	1.76024	1.01626	1.31077	0.96631	1.49099	1.41557	1.16266	1.34124	1.13705	1.15352	1.43207	0.94393	1.05954	1.16409	1.87664	1.81516	1.51151	0.86534	1.32518	0.99777	1.06332	1.05467	1.38031	1.16823	1.04754	1.4058	1.44158	1.24251	1.70905
