Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
1	0.00749	-0.05011	-0.04711	0.01693	-0.0217	0.05968	-0.00215	0.04313	-0.00558	-0.00655
8	0.00128	-0.04509	-0.03491	0.00066	-0.02154	0.02149	0.01373	0.00475	-0.01331	-0.01898
9	0.00064	-0.04452	-0.03359	-0.00084	-0.02143	0.01788	0.01504	0.00147	-0.01388	-0.01965
10	0.00025	-0.0442	-0.03284	-0.00154	-0.02143	0.01617	0.0156	0.00015	-0.01429	-0.01964
13	-0.00279	-0.04189	-0.02732	-0.00651	-0.02193	0.00424	0.01968	-0.00854	-0.01807	-0.01943
16	-0.00884	-0.03767	-0.01698	-0.01431	-0.02384	-0.01471	0.02569	-0.02004	-0.02628	-0.01667
17	-0.01026	-0.03667	-0.01456	-0.01591	-0.02427	-0.01866	0.02679	-0.0221	-0.028	-0.01572
18	-0.01137	-0.03586	-0.01266	-0.01688	-0.02456	-0.02126	0.02724	-0.0231	-0.02905	-0.01468
19	-0.01205	-0.03534	-0.01147	-0.01716	-0.02466	-0.02232	0.02704	-0.02308	-0.0293	-0.01373
21	-0.01414	-0.03372	-0.00781	-0.01814	-0.02498	-0.0258	0.02662	-0.0233	-0.0302	-0.01099
22	-0.01608	-0.03224	-0.00443	-0.01842	-0.02536	-0.02803	0.02539	-0.02253	-0.03073	-0.00824
23	-0.01772	-0.03092	-0.00152	-0.01838	-0.02549	-0.02945	0.02391	-0.0214	-0.03058	-0.00577
25	-0.02024	-0.02902	0.00287	-0.01787	-0.02602	-0.03101	0.02114	-0.01932	-0.03068	-0.00229
27	-0.02271	-0.027	0.00728	-0.01663	-0.02616	-0.03131	0.01732	-0.01618	-0.02942	0.00106
28	-0.02373	-0.02623	0.00905	-0.01591	-0.02636	-0.03116	0.01551	-0.01479	-0.029	0.00215
29	-0.02632	-0.02401	0.01372	-0.01345	-0.02628	-0.02967	0.00993	-0.01032	-0.02627	0.00475
35	-0.03469	-0.01708	0.02876	-0.00172	-0.0267	-0.0198	-0.013	0.00592	-0.01573	0.00653
37	-0.03707	-0.01522	0.03299	0.00313	-0.02711	-0.01499	-0.02137	0.01075	-0.01225	0.00338
39	-0.03951	-0.01331	0.03729	0.00877	-0.02759	-0.00914	-0.03077	0.01577	-0.00832	-0.00172
41	-0.04138	-0.01191	0.04062	0.01332	-0.02815	-0.00444	-0.03848	0.01983	-0.00529	-0.00651
44	-0.04301	-0.01072	0.04354	0.01766	-0.02878	6e-05	-0.0458	0.02353	-0.00253	-0.01194
46	-0.0438	-0.01014	0.04495	0.01984	-0.02907	0.00236	-0.04944	0.02532	-0.00114	-0.01485
47	-0.04387	-0.01014	0.04509	0.01999	-0.02922	0.00244	-0.04982	0.02557	-0.00113	-0.01509
48	-0.04413	-0.00995	0.04556	0.02071	-0.02934	0.00319	-0.05106	0.02619	-0.00067	-0.01611
49	0.00758	-0.05012	-0.04716	0.0171	-0.02159	0.05991	-0.00239	0.04334	-0.00541	-0.00625
50	0.00747	-0.04995	-0.0468	0.01673	-0.02141	0.05876	-0.00213	0.04212	-0.00541	-0.00634
51	0.00739	-0.04983	-0.04654	0.01644	-0.0213	0.05795	-0.00191	0.04128	-0.00543	-0.00646
58	0.00182	-0.04529	-0.03558	0.0019	-0.02107	0.02385	0.01219	0.00721	-0.01209	-0.01742
59	0.00055	-0.04426	-0.03313	-0.00113	-0.02106	0.01685	0.01504	0.00068	-0.01347	-0.01926
60	0.00029	-0.0441	-0.03271	-0.00156	-0.02117	0.01589	0.01544	-5e-05	-0.01392	-0.01934
61	-0.00025	-0.04367	-0.0317	-0.00245	-0.02122	0.01374	0.01615	-0.00159	-0.01451	-0.01925
67	-0.00941	-0.03703	-0.01571	-0.015	-0.02349	-0.01663	0.02583	-0.02085	-0.02595	-0.01575
68	-0.01118	-0.03588	-0.01286	-0.01667	-0.02425	-0.02083	0.02693	-0.02276	-0.0283	-0.01455
69	-0.01227	-0.03508	-0.01101	-0.01727	-0.0245	-0.02269	0.0269	-0.02296	-0.02898	-0.01325
75	-0.02002	-0.02897	0.00263	-0.01789	-0.02549	-0.03072	0.02117	-0.01909	-0.02964	-0.0022
76	-0.022	-0.02743	0.0061	-0.01692	-0.02578	-0.03103	0.01824	-0.01676	-0.02904	0.00031
78	-0.02428	-0.02549	0.01017	-0.01526	-0.02572	-0.03041	0.0141	-0.01332	-0.02715	0.00311
81	-0.0285	-0.02194	0.01772	-0.01099	-0.02574	-0.02764	0.00475	-0.00601	-0.02284	0.00683
82	-0.03105	-0.01987	0.02229	-0.00746	-0.02595	-0.02472	-0.00217	-0.00112	-0.01982	0.00745
83	-0.03317	-0.01816	0.02608	-0.00427	-0.02619	-0.02196	-0.00826	0.00301	-0.01723	0.00739
85	-0.03462	-0.01709	0.02865	-0.00184	-0.02657	-0.01984	-0.01275	0.00581	-0.01565	0.00666
86	-0.03627	-0.01573	0.03156	0.00155	-0.02671	-0.01639	-0.01848	0.00912	-0.01305	0.00452
90	-0.03999	-0.01274	0.0381	0.01003	-0.02722	-0.0075	-0.03245	0.01657	-0.00701	-0.0027
91	-0.04137	-0.01171	0.04055	0.0135	-0.02764	-0.0039	-0.03823	0.0195	-0.00478	-0.00657
94	-0.04287	-0.01073	0.04326	0.01736	-0.02848	-9e-05	-0.04503	0.02304	-0.00255	-0.01146
97	-0.0438	-0.01014	0.04495	0.01984	-0.02907	0.00236	-0.04944	0.02532	-0.00114	-0.01485
98	-0.04413	-0.00995	0.04556	0.02071	-0.02934	0.00319	-0.05106	0.02619	-0.00067	-0.01611
101	0.00745	-0.04976	-0.04643	0.01648	-0.02107	0.05768	-0.0021	0.04095	-0.00522	-0.00612
103	0.00691	-0.04923	-0.04521	0.01491	-0.02087	0.05378	-0.00066	0.03696	-0.00571	-0.00722
104	0.00666	-0.049	-0.04467	0.0142	-0.02079	0.05204	-1e-05	0.03515	-0.00593	-0.00774
105	0.00495	-0.04765	-0.04137	0.0097	-0.02082	0.0416	0.00445	0.02463	-0.00813	-0.01135
108	0.00174	-0.04518	-0.03534	0.00169	-0.02097	0.02326	0.01232	0.00672	-0.01204	-0.01739
112	-0.00108	-0.04267	-0.02964	-0.00422	-0.02056	0.00901	0.01721	-0.00521	-0.01436	-0.01882
114	-0.00443	-0.04032	-0.02389	-0.00903	-0.02154	-0.00238	0.02115	-0.01272	-0.01894	-0.01799
116	-0.00824	-0.03774	-0.01756	-0.01376	-0.0229	-0.01359	0.02485	-0.01919	-0.0241	-0.01633
118	-0.01092	-0.03578	-0.01299	-0.01642	-0.02354	-0.02031	0.02641	-0.02212	-0.0267	-0.01411
120	-0.01316	-0.0342	-0.00926	-0.0177	-0.02421	-0.02423	0.0265	-0.02282	-0.02848	-0.01168
121	-0.01399	-0.0336	-0.00787	-0.01809	-0.02446	-0.02558	0.02641	-0.02295	-0.02908	-0.01071
122	-0.01605	-0.03196	-0.00424	-0.01834	-0.02468	-0.02782	0.02499	-0.02194	-0.02925	-0.00766
124	-0.01841	-0.03009	-1e-04	-0.01822	-0.02494	-0.0297	0.02286	-0.02026	-0.02914	-0.00422
125	-0.02018	-0.02867	0.00301	-0.0178	-0.0251	-0.03059	0.02083	-0.01858	-0.02877	-0.00166
126	-0.02212	-0.02699	0.00649	-0.01671	-0.025	-0.03053	0.01769	-0.01589	-0.02732	0.00101
129	-0.02613	-0.02372	0.01357	-0.01355	-0.02525	-0.02923	0.01014	-0.00989	-0.0245	0.00533
132	-0.03095	-0.01972	0.02216	-0.00756	-0.02541	-0.0245	-0.00187	-0.00108	-0.01908	0.00777
135	-0.03465	-0.01673	0.0287	-0.0016	-0.02578	-0.01908	-0.01274	0.00598	-0.01444	0.00682
136	-0.03618	-0.01557	0.0314	0.0015	-0.02613	-0.01605	-0.01808	0.00898	-0.01239	0.00475
139	-0.03942	-0.01309	0.03705	0.00878	-0.02685	-0.00863	-0.03011	0.01525	-0.00769	-0.00151
141	-0.04119	-0.01157	0.04014	0.01326	-0.02692	-0.00369	-0.03713	0.01871	-0.00442	-0.00609
142	-0.04144	-0.01143	0.04058	0.01387	-0.02709	-0.00312	-0.03822	0.01927	-0.00412	-0.00683
144	-0.04269	-0.01058	0.04283	0.01712	-0.02772	0.00015	-0.04383	0.0221	-0.00223	-0.01094
145	-0.04348	-0.01001	0.04424	0.0193	-0.02807	0.00241	-0.04747	0.02385	-0.00095	-0.01387
146	-0.04366	-0.00994	0.04458	0.01974	-0.02828	0.00277	-0.04836	0.02436	-0.00078	-0.0145
148	-0.04396	-0.00971	0.04512	0.0206	-0.02839	0.00368	-0.04976	0.025	-0.00026	-0.01569
149	0.0077	-0.04975	-0.04652	0.01695	-0.02067	0.05811	-0.00282	0.04133	-0.00469	-0.00516
150	0.00762	-0.04965	-0.0463	0.01669	-0.0206	0.05741	-0.0026	0.04059	-0.00473	-0.00531
151	0.00753	-0.04953	-0.04605	0.0164	-0.02051	0.05663	-0.00236	0.03979	-0.00477	-0.00547
152	0.00723	-0.04938	-0.04562	0.01568	-0.02066	0.05518	-0.00155	0.03833	-0.00522	-0.00627
153	0.00701	-0.04908	-0.04497	0.01495	-0.0204	0.05315	-0.001	0.03623	-0.00528	-0.00657
155	0.00535	-0.04768	-0.04163	0.01047	-0.02025	0.04264	0.00333	0.02567	-0.00711	-0.01006
