,X,Y,Spot_radius
1,0,1,0.5
3,0,3,0.5
7,0,8,0.5
8,0,9,0.5
9,0,10,0.5
11,0,12,0.5
14,0,15,0.5
15,0,16,0.5
17,0,18,0.5
18,0,19,0.5
21,0,22,0.5
22,0,23,0.5
25,0,26,0.5
26,0,27,0.5
27,0,28,0.5
28,0,29,0.5
29,0,30,0.5
33,0,34,0.5
37,0,38,0.5
40,0,41,0.5
41,0,42,0.5
42,0,43,0.5
46,0,47,0.5
47,0,48,0.5
48,0,49,0.5
49,1,0,0.5
51,1,2,0.5
52,1,3,0.5
53,1,4,0.5
54,1,5,0.5
57,1,8,0.5
59,1,10,0.5
60,1,11,0.5
61,1,12,0.5
62,1,13,0.5
63,1,14,0.5
64,1,15,0.5
67,1,18,0.5
68,1,19,0.5
74,1,25,0.5
75,1,26,0.5
77,1,28,0.5
78,1,29,0.5
82,1,33,0.5
83,1,34,0.5
87,1,38,0.5
88,1,39,0.5
89,1,40,0.5
91,1,42,0.5
95,1,46,0.5
98,1,49,0.5
100,2,1,0.5
102,2,3,0.5
103,2,4,0.5
107,2,8,0.5
108,2,9,0.5
111,2,12,0.5
112,2,13,0.5
114,2,15,0.5
115,2,16,0.5
117,2,18,0.5
122,2,23,0.5
123,2,24,0.5
124,2,25,0.5
126,2,27,0.5
129,2,30,0.5
130,2,31,0.5
132,2,33,0.5
136,2,37,0.5
137,2,38,0.5
141,2,42,0.5
142,2,43,0.5
143,2,44,0.5
144,2,45,0.5
145,2,46,0.5
147,2,48,0.5
150,3,1,0.5
155,3,6,0.5
156,3,7,0.5
160,3,11,0.5
161,3,12,0.5
163,3,14,0.5
164,3,15,0.5
165,3,16,0.5
166,3,17,0.5
167,3,18,0.5
172,3,23,0.5
173,3,24,0.5
176,3,27,0.5
178,3,29,0.5
179,3,30,0.5
180,3,31,0.5
182,3,33,0.5
185,3,36,0.5
186,3,37,0.5
187,3,38,0.5
192,3,43,0.5
194,3,45,0.5
196,3,47,0.5
198,3,49,0.5
204,4,5,0.5
210,4,11,0.5
214,4,15,0.5
230,4,31,0.5
231,4,32,0.5
233,4,34,0.5
234,4,35,0.5
235,4,36,0.5
236,4,37,0.5
238,4,39,0.5
239,4,40,0.5
241,4,42,0.5
242,4,43,0.5
243,4,44,0.5
244,4,45,0.5
245,4,46,0.5
246,4,47,0.5
248,4,49,0.5
249,5,0,0.5
250,5,1,0.5
251,5,2,0.5
253,5,4,0.5
254,5,5,0.5
255,5,6,0.5
256,5,7,0.5
258,5,9,0.5
259,5,10,0.5
261,5,12,0.5
264,5,15,0.5
267,5,18,0.5
268,5,19,0.5
273,5,24,0.5
276,5,27,0.5
277,5,28,0.5
280,5,31,0.5
282,5,33,0.5
283,5,34,0.5
284,5,35,0.5
285,5,36,0.5
287,5,38,0.5
288,5,39,0.5
293,5,44,0.5
295,5,46,0.5
297,5,48,0.5
298,5,49,0.5
301,6,2,0.5
302,6,3,0.5
303,6,4,0.5
306,6,7,0.5
307,6,8,0.5
308,6,9,0.5
312,6,13,0.5
315,6,16,0.5
318,6,19,0.5
320,6,21,0.5
321,6,22,0.5
322,6,23,0.5
323,6,24,0.5
325,6,26,0.5
326,6,27,0.5
327,6,28,0.5
331,6,32,0.5
332,6,33,0.5
334,6,35,0.5
335,6,36,0.5
338,6,39,0.5
339,6,40,0.5
341,6,42,0.5
342,6,43,0.5
344,6,45,0.5
347,6,48,0.5
350,7,1,0.5
351,7,2,0.5
352,7,3,0.5
353,7,4,0.5
354,7,5,0.5
356,7,7,0.5
358,7,9,0.5
364,7,15,0.5
365,7,16,0.5
368,7,19,0.5
369,7,20,0.5
371,7,22,0.5
372,7,23,0.5
373,7,24,0.5
374,7,25,0.5
377,7,28,0.5
382,7,33,0.5
384,7,35,0.5
385,7,36,0.5
387,7,38,0.5
388,7,39,0.5
393,7,44,0.5
394,7,45,0.5
396,7,47,0.5
399,8,0,0.5
405,8,6,0.5
410,8,11,0.5
411,8,12,0.5
413,8,14,0.5
420,8,21,0.5
421,8,22,0.5
422,8,23,0.5
423,8,24,0.5
426,8,27,0.5
427,8,28,0.5
431,8,32,0.5
432,8,33,0.5
434,8,35,0.5
435,8,36,0.5
436,8,37,0.5
437,8,38,0.5
441,8,42,0.5
447,8,48,0.5
451,9,2,0.5
452,9,3,0.5
453,9,4,0.5
454,9,5,0.5
456,9,7,0.5
458,9,9,0.5
459,9,10,0.5
461,9,12,0.5
463,9,14,0.5
464,9,15,0.5
465,9,16,0.5
467,9,18,0.5
468,9,19,0.5
470,9,21,0.5
471,9,22,0.5
473,9,24,0.5
475,9,26,0.5
476,9,27,0.5
477,9,28,0.5
479,9,30,0.5
481,9,32,0.5
482,9,33,0.5
483,9,34,0.5
485,9,36,0.5
486,9,37,0.5
487,9,38,0.5
491,9,42,0.5
492,9,43,0.5
493,9,44,0.5
494,9,45,0.5
495,9,46,0.5
496,9,47,0.5
497,9,48,0.5
498,9,49,0.5
499,10,0,0.5
500,10,1,0.5
502,10,3,0.5
503,10,4,0.5
504,10,5,0.5
505,10,6,0.5
506,10,7,0.5
507,10,8,0.5
508,10,9,0.5
510,10,11,0.5
511,10,12,0.5
513,10,14,0.5
515,10,16,0.5
518,10,19,0.5
519,10,20,0.5
520,10,21,0.5
522,10,23,0.5
528,10,30,0.5
531,10,33,0.5
534,10,36,0.5
539,10,41,0.5
541,10,43,0.5
547,10,49,0.5
552,11,4,0.5
554,11,6,0.5
556,11,8,0.5
558,11,10,0.5
564,11,16,0.5
566,11,18,0.5
567,11,19,0.5
568,11,20,0.5
571,11,23,0.5
572,11,24,0.5
575,11,27,0.5
576,11,28,0.5
577,11,29,0.5
578,11,30,0.5
579,11,31,0.5
581,11,33,0.5
584,11,36,0.5
585,11,37,0.5
587,11,39,0.5
590,11,42,0.5
593,11,45,0.5
596,11,48,0.5
597,11,49,0.5
598,12,0,0.5
601,12,3,0.5
602,12,4,0.5
603,12,5,0.5
604,12,6,0.5
605,12,7,0.5
606,12,8,0.5
607,12,9,0.5
611,12,13,0.5
613,12,15,0.5
614,12,16,0.5
616,12,18,0.5
617,12,19,0.5
618,12,20,0.5
624,12,26,0.5
625,12,27,0.5
627,12,29,0.5
628,12,30,0.5
631,12,33,0.5
634,12,36,0.5
635,12,37,0.5
638,12,40,0.5
640,12,42,0.5
641,12,43,0.5
642,12,44,0.5
647,12,49,0.5
649,13,2,0.5
650,13,3,0.5
655,13,8,0.5
656,13,9,0.5
658,13,11,0.5
660,13,13,0.5
661,13,14,0.5
664,13,17,0.5
665,13,18,0.5
666,13,19,0.5
667,13,20,0.5
669,13,22,0.5
671,13,24,0.5
674,13,27,0.5
676,13,29,0.5
681,13,34,0.5
682,13,35,0.5
683,13,36,0.5
688,13,41,0.5
692,13,45,0.5
693,13,46,0.5
694,13,47,0.5
695,13,48,0.5
696,13,49,0.5
697,14,0,0.5
699,14,2,0.5
702,14,5,0.5
703,14,6,0.5
704,14,7,0.5
705,14,8,0.5
706,14,9,0.5
707,14,10,0.5
708,14,11,0.5
709,14,12,0.5
710,14,13,0.5
711,14,14,0.5
715,14,18,0.5
716,14,19,0.5
717,14,20,0.5
719,14,22,0.5
720,14,23,0.5
721,14,24,0.5
722,14,25,0.5
727,14,30,0.5
728,14,31,0.5
729,14,32,0.5
730,14,33,0.5
731,14,34,0.5
732,14,35,0.5
737,14,40,0.5
738,14,41,0.5
740,14,43,0.5
743,14,46,0.5
745,14,48,0.5
749,15,2,0.5
750,15,3,0.5
751,15,4,0.5
754,15,7,0.5
756,15,9,0.5
757,15,10,0.5
