Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
0	0.02418	-0.02429	0.03074	-0.02131	-0.01062	0.01812	0.03261	0.02638	-0.00669	-0.01806
1	0.02419	-0.02418	0.03059	-0.02101	-0.01074	0.0177	0.03235	0.02596	-0.00683	-0.0174
2	0.02419	-0.02402	0.0304	-0.02062	-0.01091	0.01714	0.03202	0.02541	-0.00704	-0.01652
3	0.02422	-0.02381	0.03016	-0.02009	-0.01119	0.01636	0.03164	0.02473	-0.00738	-0.01536
4	0.02425	-0.0235	0.0298	-0.01932	-0.01157	0.01525	0.03106	0.02373	-0.00784	-0.01369
5	0.0243	-0.02299	0.0292	-0.01808	-0.01218	0.01347	0.0301	0.02212	-0.00858	-0.0111
6	0.02436	-0.02238	0.02848	-0.01663	-0.01288	0.01139	0.02895	0.02022	-0.00942	-0.00817
7	0.02447	-0.02089	0.0267	-0.0132	-0.0145	0.00651	0.02612	0.01572	-0.01132	-0.00172
8	0.02453	-0.02002	0.02564	-0.01129	-0.01539	0.0038	0.02448	0.01322	-0.01235	0.00155
9	0.02459	-0.01907	0.02449	-0.00927	-0.01631	0.00099	0.02271	0.0106	-0.01339	0.0047
10	0.02464	-0.01821	0.02344	-0.00757	-0.01709	-0.00137	0.02116	0.00842	-0.01426	0.007
11	0.0247	-0.01717	0.02216	-0.00558	-0.01798	-0.00411	0.01928	0.00585	-0.01521	0.00942
12	0.02474	-0.01606	0.02079	-0.00358	-0.01886	-0.00682	0.01731	0.00331	-0.01613	0.01144
13	0.02479	-0.01489	0.01934	-0.00162	-0.01971	-0.00944	0.01528	0.00083	-0.01698	0.01297
14	0.02484	-0.01366	0.0178	3e-04	-0.02053	-0.01196	0.01319	-0.00158	-0.01777	0.01402
15	0.02488	-0.01238	0.01618	0.00213	-0.02131	-0.01433	0.01107	-0.00385	-0.01847	0.01452
16	0.02492	-0.01105	0.0145	0.00385	-0.02203	-0.01649	0.00894	-0.00596	-0.01909	0.01446
17	0.02495	-0.00967	0.01276	0.00543	-0.02268	-0.01842	0.00682	-0.00787	-0.0196	0.01386
18	0.02499	-0.00825	0.01096	0.00684	-0.02326	-0.02007	0.00472	-0.00955	-0.02	0.01272
19	0.02502	-0.0068	0.00911	0.00807	-0.02376	-0.02141	0.00267	-0.01098	-0.02029	0.01111
20	0.02505	-0.00533	0.00722	0.00909	-0.02416	-0.02243	0.00067	-0.01214	-0.02046	0.00907
21	0.02508	-0.00383	0.0053	0.00989	-0.02447	-0.02309	-0.00126	-0.013	-0.02051	0.00669
22	0.0251	-0.00231	0.00336	0.01045	-0.02467	-0.02338	-0.00311	-0.01357	-0.02044	0.00406
23	0.02513	-0.00079	0.0014	0.01077	-0.02478	-0.02329	-0.00486	-0.01383	-0.02026	0.00128
24	0.02515	0.00074	-0.00057	0.01084	-0.02477	-0.02282	-0.0065	-0.01379	-0.01996	-0.00155
25	0.02517	0.00227	-0.00254	0.01066	-0.02467	-0.02197	-0.00803	-0.01345	-0.01956	-0.00432
26	0.02519	0.00379	-0.00451	0.01023	-0.02445	-0.02074	-0.00945	-0.01282	-0.01907	-0.00692
27	0.02521	0.0053	-0.00646	0.00956	-0.02414	-0.01915	-0.01074	-0.01191	-0.01848	-0.00926
28	0.02523	0.00679	-0.00839	0.00866	-0.02374	-0.01721	-0.01191	-0.01074	-0.01783	-0.01123
29	0.02524	0.00825	-0.01028	0.00754	-0.02324	-0.01496	-0.01294	-0.00934	-0.01711	-0.01277
30	0.02526	0.00969	-0.01214	0.00622	-0.02267	-0.01241	-0.01386	-0.00773	-0.01634	-0.0138
31	0.02527	0.01109	-0.01396	0.00472	-0.02202	-0.00961	-0.01464	-0.00593	-0.01553	-0.01428
32	0.02528	0.01245	-0.01572	0.00305	-0.02131	-0.00659	-0.01531	-0.00397	-0.0147	-0.01419
33	0.0253	0.01377	-0.01742	0.00126	-0.02054	-0.00339	-0.01586	-0.0019	-0.01385	-0.01351
34	0.0253	0.01503	-0.01905	-0.00064	-0.01973	-6e-05	-0.0163	0.00027	-0.013	-0.01227
