,Average Graph Distance,Average Image Distance,Rank
R-0.1_K-5_L-15,759.781284697753,2.51435809002389,7.0
R-0.1_K-5_L-10,759.628754158142,2.69615746880025,7.5
R-0.1_K-3_L-5,754.38405276667,2.82458300318552,8.0
R-0.1_K-10_L-15,754.943237982139,2.87716368499537,9.0
R-0.05_K-10_L-15,497.13993231812,3.80772334876991,9.5
R-0.05_K-3_L-5,496.890490235676,4.23940775658217,10.5
R-0.05_K-3_L-10,498.568833094699,3.77975887840563,11.0
R-0.05_K-5_L-15,498.064721657731,3.94861947430853,11.0
R-0.15_K-3_L-5,965.3392625187,2.75280603128186,11.5
R-0.15_K-5_L-10,966.151046326646,2.66448077492409,11.5
R-0.05_K-5_L-10,498.347213563354,4.11339916198758,12.0
R-0.1_K-5_L-5,763.508301582435,3.17226119214958,12.5
R-0.15_K-10_L-15,966.005434506527,2.77885699824559,12.5
R-0.1_K-10_L-10,763.508301582435,3.17226119214958,12.5
R-0.05_K-5_L-5,492.416095297713,4.68845863195467,13.0
R-0.05_K-10_L-5,492.282162037896,6.54639842983006,14.0
R-0.05_K-10_L-10,497.84803771644,4.65088558309138,14.0
R-0.1_K-10_L-5,771.526481749221,3.5166767390707,14.5
R-0.15_K-10_L-10,981.397286032069,2.96109379511479,15.5
R-0.15_K-5_L-5,981.397286032069,2.96109379511479,15.5
R-0.05_K-3_L-15,503.813773447911,5.09954712506242,17.5
R-0.15_K-10_L-5,1005.76816899742,3.26407463318319,18.0
R-0.1_K-3_L-15,908.215831619069,4.46027441838564,19.5
R-0.1_K-3_L-10,903.694157291611,4.58512616362425,19.5
R-0.15_K-3_L-10,1302.33337555256,4.3197167381001,22.0
R-0.15_K-3_L-15,1321.67693304376,4.37186351079468,23.5
R-0.15_K-5_L-15,1318.09618735866,4.94132876412809,25.5
